Current Reporting Period,ProjectCounter,ProjectUnitCounter,Duplicate,Entity,Sector,Product,Class,Channel,Status,ProjectCode,Municipality,State,Zip,County,CensusTract,Current MSA AMI Band,Vintage MSA AMI Band,Current MSA SMI Band,Vintage MSA SMI Band,Current Distressed,Vintage Distressed,ElectricUtility,Contractor,Lender,Market,ProjectType,Technology,RSIP Step,Bundle Type,SmarteBundle,SmarteNaturalGasSpecialOffer,SmarteHeatPumpSpecialOffer,SolarLeaseType,PropertyType,Food/Organic Waste (tons/yr),NumberOfMeasures,MultiMeasure,Square Footage,FundingSource,SF Record Type,OrphanStatus,PowerClerkNumber,PACENumber,MFHNumber,IRBRequestNumber,Solarize,RSIP System Financing Type,Resi Financing,SHREC,REC Type,Term,Rate,PPA Lease Price,Rate Type,ESA Opt In,ESA Price,Monthly ESA Cost,DTI,FICO Score,Credit Range,ReceivedDate,CYQtrReceived,CYReceived,FYQtrReceived,FYReceived,ApprovedDate,CYQtrApproved,CYApproved,FYQtrApproved,FYApproved,ClosedDate,CYQtrClosed,CYClosed,FYQtrClosed,FYClosed,CompletedDate,CYQtrCompleted,CYCompleted,FYQtrCompleted,FYCompleted,DecommissionedDate,TotalCapitalDeployed,AmountFinanced,LeaseFairMarketValue,ActualGrossCost,AdjustedGrossCost,CGBIncentiveAmount,CGBIncentiveAmount2,RSIPIncentiveAmount,OtherIncentiveAmount,IRBAmount,LLRAmount,SmarteLLRAmount,TotalLLRAmount,TotalCGBCreditEnhancements,GreenBankAdvanceRate,TotalCGBLoansLeases,TotalCGBInvestment,TotalCGBInvestment2,TotalPrivateInvestment,TotalPrivateInvestment2,TotalInvestment,TotalInvestment2,kW STC,MW,Watts,AnnualMMBTUSavedProduced,LifetimeMMBTUSavedProduced,AnnualCostSavings,LifetimeCostSavings,CalculatedAnnualMMBTUProducedSaved,CalculatedLifetimeMMBTUProducedSaved,CapacityFactor,ExpectedUsefulLife,ExpectedAnnualGeneration(kWh),ExpectedAnnualGeneration(MWh),ExpectedLifetimeGeneration(kWh),ExpectedLifetimeGeneration(MWh),Emission Rate Factor Helper,AnnualCO2EmissTonsPerMwh,AnnualNOXEmissLbsPerMwh,AnnualSO2EmissLbsPerMwh,AnnualPM2.5EmissLbsPerMwh,LifetimeCO2EmissTonsPerMwh,LifetimeNOXEmissLbsPerMwh,LifetimeSO2EmissLbsPerMwh,LifetimePM2.5EmissLbsPerMwh,AnnualVehiclesDriven,AnnualMilesDriven,AnnualGallonsGasoline,AnnualHomesEnergyUse,AnnualTreeSeedlings,AnnualAcresForests,LifetimeVehiclesDriven,LifetimeMilesDriven,LifetimeGallonsGasoline,LifetimeHomesEnergyUse,LifetimeTreeSeedlings,LifetimeAcresForests,JobsMethodHelper,DirectJobYears,IndirectInducedJobYears,TotalJobYears,AnnualPublicHealthLow,AnnualPublicHealthHigh,LifetimePublicHealthLow,LifetimePublicHealthHigh,IndividualIncomeTaxesGenerated,CorporateTaxesGenerated,SalesTaxesGenerated,TotalTaxRevenueGenerated,State House District,State Senate District,Congressional District,Opportunity Zone,USDA Rurality,MSA Vintage CRA AMI Band,MSA Vintage CRA SMI Band,ProgramSegment,RSIP Exclusions,ZREC kWh,ZREC MWh,Vintage MSA AMI Band Sort,MSA Vintage CRA AMI Band Sort,Vintage EJ Poverty Level,Vintage Vulnerable Community,Vulnerable Community Category,RaceEthnicityCategoryVintage,VintageEJCommunity,Scrubbed Contractor,Contractor Id,CRA Qualified,LMI Qualified,COG Name,Cost Membership,DOE_Justice40,SQL_Source,PropertyTaxesGenerated,LastModifiedDate,file_part
NULL,1,1,No,CGB,Residential,NULL,NULL,NULL,Completed,Solar Lease0001-0000023150,Southington,CT,6787,Hartford County,430100,80-100,80-100,80-100,80-100,Not Distressed,Not Distressed,Eversource,Trinity Solar,AFC First,Residential,RE,PV,NULL,NULL,NULL,NULL,NULL,None,NULL,NULL,1,NULL,NULL,NULL,NULL,Matched,RPV-07607,NULL,NULL,,No,NULL,NULL,NULL,NULL,240.00,NULL,NULL,Standard Rates,NULL,NULL,NULL,38.85,797.00,780+,2014-09-30 00:00:00.000,Q3,2014,Q1,2015,2015-02-26 00:00:00.000,Q1,2015,Q3,2015,2015-03-11 00:00:00.000,Q1,2015,Q3,2015,2015-05-11 00:00:00.000,Q2,2015,Q4,2015,,47047.50,47047.50,NULL,42343.00,47047.50,0.00,7951.43,7951.43,NULL,0.00,2752.28,0.00,2752.28,2752.28,15.89,7475.85,10228.13000,18179.56000,39571.65000,39571.65000,49799.78000,57751.21000,10.46000,0.0104600000,10460.00000,NULL,NULL,1198.80,29970.0000,27.200000,680.00000,NULL,25.00,11906.1500000,11.910000000000,297653.85,297.650000000000,2015PV,7.00000000,8.00000000,8.00000000,1.00000000,171.000000,207.000000,208.000000,15.000000,1.413132,16279.285806,714.559797,0.800352,105.002639,7.572838,34.520796,397679.696118,17455.675041,19.551456,2565.064467,184.993614,2010ResidentialPV,0.25000000000,0.40000000000,0.65000000000,230.979310,521.489370,5774.484690,13037.238630,920.39,148.72,0.00,1069.11,State House District 81,State Senate District 16,CT1,Not Eligible,Eligible,80-120,80-120,Incentive,NULL,NULL,NULL,3,3,No,Vulnerable,LMI,Need to Fix,Not EJ Community,Trinity Solar,TBD,Not CRA,LMI,Capitol,No,Not Justice 40,v_RESI_ALL_PROGRAMS_KPI,0.00,NULL,1
NULL,1,1,No,CCEF,Infrastructure,NULL,EPBB,NULL,Completed,276-110036,Greenwich,CT,6870,Fairfield County,11000,120+,120+,120+,120+,Not Distressed,Not Distressed,Eversource,Sound Solar Systems,NULL,Residential,RE,PV,None,NULL,NULL,NULL,NULL,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,276-110036,NULL,NULL,NULL,No,,NULL,Pre-SHREC,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2010-12-15 00:00:00.000,Q4,2010,Q2,2011,2010-12-15 00:00:00.000,Q4,2010,Q2,2011,2010-12-15 00:00:00.000,Q4,2010,Q2,2011,2011-05-20 00:00:00.000,Q2,2011,Q4,2011,,17280.00,NULL,NULL,17280.00,17280.00,3010.00,3010.00,3010.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3010.00000,3010.00000,14270.00000,14270.00000,17280.00000,17280.00000,2.16000,0.0021600000,2160.00000,NULL,NULL,1198.80,29970.0000,8.392865,209.82162,0.130,25.00,2459.8080000,2.459808000000,61495.20,61.495200000000,2012PV,1.37195832,1.69514682,2.24027683,0.12346701,34.298958,NULL,56.006921,3.086675,0.266514,3050.538224,140.049465,0.134394,32.255740,1.465983,6.662847,76263.455590,3501.236633,3.359857,806.393505,36.649568,2010ResidentialPV,0.10000000000,0.16000000000,0.26000000000,47.720275,107.739590,1193.006880,2693.489760,338.05,435.34,0.00,773.39,State House District 150,State Senate District 36,CT4,Not Eligible,Eligible,120+,120+,Incentive,Include,0.10580000001000003,105.80000001000003,5,4,No,Not Vulnerable,None,Need to Fix,Not EJ Community,Sound Solar Systems LLC,TBD,Not CRA,Not LMI,Western CT,No,Not Justice 40,v_RSIP_ALL_PROGRAMS_KPI,0.00,NULL,1
NULL,1,1,No,CCEF,Infrastructure,NULL,EPBB,NULL,Completed,135-64232,Washington,CT,6777,Litchfield County,267100,120+,80-100,120+,80-100,Not Distressed,Not Distressed,Eversource,Litchfield Hills Solar,NULL,Residential,RE,PV,None,NULL,NULL,NULL,NULL,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,135-64232,NULL,NULL,NULL,No,,NULL,Pre-SHREC,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2010-03-11 00:00:00.000,Q1,2010,Q3,2010,2010-03-11 00:00:00.000,Q1,2010,Q3,2010,2010-03-11 00:00:00.000,Q1,2010,Q3,2010,2010-09-21 00:00:00.000,Q3,2010,Q1,2011,,74700.00,NULL,NULL,74700.00,74700.00,14478.00,14478.00,14478.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14478.00000,14478.00000,60222.00000,60222.00000,74700.00000,74700.00000,10.80000,0.0108000000,10800.00000,NULL,NULL,1198.80,29970.0000,41.964324,1049.10811,0.130,25.00,12299.0400000,12.299040000000,307476.00,307.476000000000,2012PV,6.85979159,8.47573407,11.20138417,0.61733506,171.494790,NULL,280.034604,15.433377,1.332569,15252.691120,700.247327,0.671972,161.278701,7.329914,33.314235,381317.278000,17506.183160,16.799287,4031.967527,183.247842,2010ResidentialPV,0.44000000000,0.70000000000,1.14000000000,238.601376,538.697952,5965.034400,13467.448800,1461.36,1881.92,0.00,3343.28,State House District 69,State Senate District 32,CT5,Not Eligible,Eligible,120+,120+,Incentive,Include,0.10180000001000003,101.80000001000003,3,4,No,Vulnerable,LMI,Need to Fix,Not EJ Community,Litchfield Hills Solar LLC,TBD,Not CRA,LMI,Northwest Hills,Yes,Not Justice 40,v_RSIP_ALL_PROGRAMS_KPI,0.00,NULL,1
NULL,1,1,No,CGB,Residential,NULL,NULL,NULL,Completed,Solar Loan3653,East Hartford,CT,6118,Hartford County,511100,120+,100-120,120+,100-120,Distressed,Distressed,Eversource,Shippee Solar and Construction,Sungage,Residential,RE,PV,NULL,NULL,NULL,NULL,NULL,None,NULL,NULL,1,NULL,NULL,NULL,NULL,Matched,RPV-06104,NULL,NULL,3653,No,NULL,NULL,NULL,NULL,180.00,NULL,NULL,Standard Rates,NULL,NULL,NULL,NULL,791.00,780+,2014-09-08 00:00:00.000,Q3,2014,Q1,2015,2014-09-08 00:00:00.000,Q3,2014,Q1,2015,2014-11-25 00:00:00.000,Q4,2014,Q2,2015,2015-02-10 00:00:00.000,Q1,2015,Q3,2015,,22203.00,22203.00,NULL,29430.00,29430.00,0.00,6028.00,6028.00,NULL,600.00,1075.00,0.00,1075.00,1675.00,NULL,0.00,1675.00000,7703.00000,29430.00000,29430.00000,31105.00000,37133.00000,8.18000,0.0081800000,8180.00000,NULL,NULL,1198.80,29970.0000,27.200000,680.00000,NULL,25.00,9309.6900000,9.310000000000,232742.25,232.740000000000,2015PV,5.00000000,6.00000000,7.00000000,0.00000000,134.000000,162.000000,163.000000,12.000000,1.009380,11628.061290,510.399855,0.571680,75.001885,5.409170,27.051384,311632.042572,13678.716114,15.321024,2010.050518,144.965756,2010ResidentialPV,0.17000000000,0.28000000000,0.45000000000,180.607986,407.764422,4515.199650,10194.110550,575.74,741.43,0.00,1317.17,State House District 9,State Senate District 3,CT1,Not Eligible,Not Eligible,80-120,80-120,Incentive,NULL,NULL,NULL,4,3,No,Vulnerable,Distressed,Need to Fix,EJ Community,"Shippee Solar and Construction, LLC",TBD,Not CRA,Not LMI,Capitol,No,Not Justice 40,v_RESI_ALL_PROGRAMS_KPI,0.00,NULL,1
2025-09-30 00:00:00.000,1,1,No,CGB,Residential,NULL,NULL,NULL,Completed,106411,Beacon Falls,CT,6403,New Haven County,341100,100-120,120+,100-120,100-120,Not Distressed,Not Distressed,Eversource,J&S Industries,PosiGen,Residential,RE/EE,PV,NULL,NULL,NULL,NULL,NULL,None,NULL,NULL,1,NULL,NULL,NULL,NULL,Matched,RPV-37799,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,240.00,0.000,NULL,Standard Rates,NULL,NULL,NULL,0.00,0.00,Unknown,2018-10-30 00:00:00.000,Q4,2018,Q2,2019,2018-10-30 00:00:00.000,Q4,2018,Q2,2019,2018-10-30 00:00:00.000,Q4,2018,Q2,2019,2019-05-15 00:00:00.000,Q2,2019,Q4,2019,,21196.80,21196.80,NULL,13824.00,21196.80,0.00,2982.78,2982.78,NULL,0.00,0.00,0.00,0.00,0.00,0.00,5000.00,5000.00000,7982.78000,16196.80000,16196.80000,21196.80000,24179.58000,5.12000,0.0051200000,5120.00000,15.00,0.00,1198.80,29970.0000,42.200000,680.00000,NULL,25.00,10225.6200000,10.225620000000,255640.50,255.640500000000,2019PV,5.72634720,2.35189260,1.22707440,0.30676860,143.158680,58.797315,30.676860,7.669215,1.156012,13317.263242,584.545356,0.654728,85.897367,6.194957,28.900302,332931.581047,14613.633903,16.368191,2147.434171,154.873927,2018ResidentialPV,0.08000000000,0.11000000000,0.19000000000,40.902480,93.053142,1022.562000,2326.328550,442.55,71.52,0.00,514.07,State House District 105,State Senate District 17,CT3,Not Eligible,Eligible,50-80,120+,Incentive,NULL,NULL,NULL,5,2,No,Vulnerable,CRA,Need to Fix,Not EJ Community,J&S Industries,TBD,CRA,Not LMI,Naugatuck Valley,Yes,Not Justice 40,v_RESI_ALL_PROGRAMS_KPI,0.00,NULL,1
NULL,1,1,No,CGB,Residential,NULL,NULL,NULL,Completed,Solar Lease0001-0000013769,Beacon Falls,CT,6897,New Haven County,341100,100-120,120+,100-120,120+,Not Distressed,Not Distressed,Eversource,Trinity Solar,AFC First,Residential,RE,PV,NULL,NULL,NULL,NULL,NULL,None,NULL,NULL,1,NULL,NULL,NULL,NULL,Matched,RPV-03824,NULL,NULL,,No,NULL,NULL,NULL,NULL,240.00,NULL,NULL,Standard Rates,NULL,NULL,NULL,36.32,844.00,780+,2014-02-18 00:00:00.000,Q1,2014,Q3,2014,2014-12-12 00:00:00.000,Q4,2014,Q2,2015,2014-07-21 00:00:00.000,Q3,2014,Q1,2015,2014-12-05 00:00:00.000,Q4,2014,Q2,2015,,24225.00,24225.00,NULL,20970.00,24225.00,0.00,5506.92,5506.92,NULL,0.00,1417.16,0.00,1417.16,1417.16,15.89,3849.35,5266.51000,10773.43000,20375.65000,20375.65000,25642.16000,31149.08000,4.85000,0.0048500000,4850.00000,NULL,NULL,1198.80,29970.0000,27.200000,680.00000,NULL,25.00,5517.4900000,5.520000000000,137937.15,137.940000000000,2014PV,3.00000000,4.00000000,5.00000000,0.00000000,76.000000,109.000000,132.000000,7.000000,0.605628,6976.836774,306.239913,0.343008,45.001131,3.245502,15.342576,176746.531608,7758.077796,8.689536,1140.028652,82.219384,2010ResidentialPV,0.12000000000,0.20000000000,0.32000000000,107.039306,241.666062,2675.980710,6041.647170,473.91,76.58,0.00,550.49,State House District 105,State Senate District 17,CT3,Not Eligible,Eligible,120+,120+,Incentive,NULL,NULL,NULL,5,4,No,Not Vulnerable,None,Need to Fix,Not EJ Community,Trinity Solar,TBD,Not CRA,Not LMI,Naugatuck Valley,Yes,Not Justice 40,v_RESI_ALL_PROGRAMS_KPI,0.00,NULL,1
NULL,1,1,No,CGB,Residential,NULL,NULL,NULL,Completed,Solar Lease0001-0000023160,Thomaston,CT,6052,Litchfield County,349200,80-100,80-100,80-100,80-100,Not Distressed,Not Distressed,Eversource,Direct Energy Solar,AFC First,Residential,RE,PV,NULL,NULL,NULL,NULL,NULL,None,NULL,NULL,1,NULL,NULL,NULL,NULL,Matched,RPV-06955,NULL,NULL,,No,NULL,NULL,NULL,NULL,240.00,NULL,NULL,Standard Rates,NULL,NULL,NULL,30.10,795.00,780+,2014-09-30 00:00:00.000,Q3,2014,Q1,2015,2015-03-05 00:00:00.000,Q1,2015,Q3,2015,2015-01-02 00:00:00.000,Q1,2015,Q3,2015,2015-02-06 00:00:00.000,Q1,2015,Q3,2015,,35572.50,35572.50,NULL,29800.00,35572.50,0.00,6640.38,6640.38,NULL,0.00,2080.99,0.00,2080.99,2080.99,15.89,5652.47,7733.46000,14373.84000,29920.03000,29920.03000,37653.49000,44293.87000,7.91000,0.0079100000,7910.00000,NULL,NULL,1198.80,29970.0000,27.200000,680.00000,NULL,25.00,9002.2100000,9.000000000000,225055.35,225.060000000000,2015PV,5.00000000,6.00000000,6.00000000,0.00000000,129.000000,157.000000,157.000000,11.000000,1.009380,11628.061290,510.399855,0.571680,75.001885,5.409170,26.042004,300003.981282,13168.316259,14.749344,1935.048633,139.556586,2010ResidentialPV,0.18000000000,0.28000000000,0.46000000000,174.642874,394.296798,4366.073790,9857.424330,695.90,112.44,0.00,808.34,State House District 76,State Senate District 31,CT5,Not Eligible,Eligible,80-120,80-120,Incentive,NULL,NULL,NULL,3,3,Yes,Vulnerable,"LMI,EJ Poverty Level",Need to Fix,EJ Community,Direct Energy Astrum Solar,TBD,Not CRA,LMI,Naugatuck Valley,No,Not Justice 40,v_RESI_ALL_PROGRAMS_KPI,0.00,NULL,1
NULL,1,1,No,CCEF,Infrastructure,NULL,EPBB,NULL,Completed,276-2160,Weston,CT,6883,Fairfield County,55100,120+,120+,120+,120+,Not Distressed,Not Distressed,Eversource,Mercury Solar Systems,NULL,Residential,RE,PV,None,NULL,NULL,NULL,NULL,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,276-2160,NULL,NULL,NULL,No,,NULL,Pre-SHREC,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2007-08-28 00:00:00.000,Q3,2007,Q1,2008,2007-08-28 00:00:00.000,Q3,2007,Q1,2008,2007-08-28 00:00:00.000,Q3,2007,Q1,2008,2007-11-28 00:00:00.000,Q4,2007,Q2,2008,,59040.00,NULL,NULL,59040.00,59040.00,25379.32,25379.32,25379.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25379.32120,25379.32120,33660.67880,33660.67880,59040.00000,59040.00000,6.56000,0.0065600000,6560.00000,NULL,NULL,1198.80,29970.0000,25.489442,637.23604,0.130,25.00,7470.5280000,7.470528000000,186763.20,186.763200000000,2012PV,4.16668823,5.14822366,6.80380372,0.37497389,104.167206,NULL,170.095093,9.374347,0.809413,9264.597568,425.335413,0.408160,97.961878,4.452244,20.235313,231614.939200,10633.385330,10.204011,2449.046942,111.306097,2010ResidentialPV,0.35000000000,0.55000000000,0.90000000000,144.928243,327.209126,3623.206080,8180.228160,1155.00,1487.39,0.00,2642.39,State House District 135,State Senate District 26,CT4,Not Eligible,Eligible,120+,120+,Incentive,Include,0.29380000001,293.80000001,5,4,No,Not Vulnerable,None,Need to Fix,Not EJ Community,Mercury Solar Systems,TBD,Not CRA,Not LMI,Western CT,Yes,Not Justice 40,v_RSIP_ALL_PROGRAMS_KPI,0.00,NULL,1
NULL,1,1,No,CCEF,CCEF,,,,Completed,50400-CHESTER-001,Chester,CT,6412,Middlesex County,600100,100-120,100-120,100-120,100-120,Not Distressed,Not Distressed,Eversource,Aegis,,Commercial,RE,PV,NULL,NULL,NULL,NULL,NULL,None,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2013-02-08 00:00:00.000,Q1,2013,Q3,2013,2013-02-08 00:00:00.000,Q1,2013,Q3,2013,2013-02-08 00:00:00.000,Q1,2013,Q3,2013,2013-12-31 00:00:00.000,Q4,2013,Q2,2014,,29650.00,NULL,NULL,29650.00,29650.00,29650.00,29650.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29650.00000,29650.00000,NULL,NULL,29650.00000,29650.00000,4.00000,0.0040000000,4000.00000,,,NULL,NULL,15.540000,388.56000,0.130,25.00,4555.2000000,4.560000000000,113880.00,113.880000000000,2013PV,2.61000000,3.91000000,5.04000000,0.23000000,65.160000,97.800000,126.060000,5.720000,0.510000,5795.030000,266.050000,0.260000,61.280000,2.780000,12.490000,144875.780000,6651.210000,6.380000,1531.890000,69.620000,2010CommercialPV,0.10000000000,0.16000000000,0.26000000000,88.370880,199.517760,2209.272000,4987.944000,434.55,406.09,0.00,840.64,State House District 36,State Senate District 33,CT2,Not Eligible,Eligible,80-120,80-120,CCEF,NULL,NULL,NULL,4,3,No,Not Vulnerable,None,Need to Fix,Not EJ Community,Aegis Solar Energy,TBD,Not CRA,Not LMI,Lower CT River Valley,Yes,Not Justice 40,CCEFLegacyProjects,0.00,NULL,1
NULL,1,1,No,CCEF,CCEF,,,,Completed,50400-SOUTHBURY-13-1,Southbury,CT,6488,New Haven County,348124,60-80,60-80,60-80,60-80,Not Distressed,Not Distressed,Eversource,Renewable Resources,,Commercial,RE,PV,NULL,NULL,NULL,NULL,NULL,None,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2013-08-27 00:00:00.000,Q3,2013,Q1,2014,2013-08-27 00:00:00.000,Q3,2013,Q1,2014,2013-08-27 00:00:00.000,Q3,2013,Q1,2014,2013-12-31 00:00:00.000,Q4,2013,Q2,2014,,23280.00,NULL,NULL,23280.00,23280.00,23280.00,23280.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23280.00000,23280.00000,NULL,NULL,23280.00000,23280.00000,2.00000,0.0020000000,2000.00000,,,NULL,NULL,7.770000,194.28000,0.130,25.00,2277.6000000,2.280000000000,56940.00,56.940000000000,2013PV,1.30000000,1.96000000,2.52000000,0.11000000,32.580000,48.900000,63.030000,2.860000,0.250000,2897.520000,133.020000,0.130000,30.640000,1.390000,6.240000,72437.890000,3325.610000,3.190000,765.940000,34.810000,2010CommercialPV,0.08000000000,0.13000000000,0.20000000000,44.185440,99.758880,1104.636000,2493.972000,341.19,318.84,0.00,660.03,State House District 69,State Senate District 32,CT5,Not Eligible,Eligible,80-120,80-120,CCEF,NULL,NULL,NULL,2,3,No,Vulnerable,LMI,Need to Fix,Not EJ Community,"Renewable Resources Energy Solutions, Inc.",TBD,Not CRA,LMI,Naugatuck Valley,Yes,Not Justice 40,CCEFLegacyProjects,0.00,NULL,1
